type,name,bloat,waste
table,public.audit_log,1.1,600 kB
table,public.activity_events,2.1,360 kB
table,public.chef_breadcrumbs,1.2,176 kB
table,public.communication_action_log,17.0,128 kB
table,public.gmail_sync_log,1.2,104 kB
table,public.notification_delivery_log,5.5,72 kB
table,public.communication_events,9.0,64 kB
table,public.events,1.5,64 kB
table,public.inquiries,1.6,56 kB
table,public.chef_preferences,2.2,48 kB
table,public.dishes,2.3,40 kB
index,public.communication_action_log::idx_comm_action_log_event,5.0,32 kB
table,public.gmail_historical_findings,1.7,32 kB
table,public.chef_activity_log,1.3,32 kB
table,public.simulation_results,1.1,32 kB
index,public.chef_breadcrumbs::idx_breadcrumbs_session,1.1,32 kB
index,public.communication_action_log::idx_comm_action_log_tenant_time,4.0,24 kB
table,public.remy_memories,4.0,24 kB
index,public.event_cannabis_settings::idx_event_cannabis_settings_tenant_event,2.5,24 kB
table,public.expenses,2.0,16 kB
table,public.clients,1.3,16 kB
table,public.simulation_runs,1.2,16 kB
index,public.notifications::notifications_pkey,0.0,16 kB
index,public.notifications::idx_notifications_tenant,0.0,16 kB
index,public.notifications::idx_notifications_recipient_unread,0.0,16 kB
index,public.notifications::idx_notifications_recipient_all,0.0,16 kB
index,public.messages::idx_messages_gmail_dedup,0.0,16 kB
index,public.user_roles::idx_user_roles_entity,2.0,8192 bytes
index,public.user_roles::idx_user_roles_auth_user,2.0,8192 bytes
index,public.inquiries::inquiries_decline_reason_idx,2.0,8192 bytes
index,public.chefs::idx_chefs_directory_approved,2.0,8192 bytes
index,public.staff_members::staff_members_pkey,2.0,8192 bytes
index,public.staff_members::idx_staff_pin_per_tenant,2.0,8192 bytes
index,public.staff_members::idx_staff_members_staff_type,2.0,8192 bytes
index,public.staff_members::idx_staff_members_chef,2.0,8192 bytes
index,public.remy_memories::remy_memories_pkey,2.0,8192 bytes
index,public.remy_memories::idx_remy_memories_tenant_category,2.0,8192 bytes
index,public.messages::idx_messages_client,2.0,8192 bytes
index,public.remy_memories::idx_remy_memories_tenant_active_importance,2.0,8192 bytes
table,public.messages,2.0,8192 bytes
index,public.remy_memories::idx_remy_memories_dedup,2.0,8192 bytes
index,public.events::idx_events_converting_quote,2.0,8192 bytes
index,public.remy_memories::idx_remy_memories_client,2.0,8192 bytes
index,public.referral_partners::referral_partners_share_token_key,2.0,8192 bytes
index,public.referral_partners::referral_partners_pkey,2.0,8192 bytes
index,public.messages::idx_messages_event,2.0,8192 bytes
index,public.referral_partners::idx_referral_partners_type,2.0,8192 bytes
index,public.referral_partners::idx_referral_partners_tenant,2.0,8192 bytes
index,public.communication_action_log::communication_action_log_pkey,2.0,8192 bytes
index,public.messages::idx_messages_inquiry,2.0,8192 bytes
index,public.communication_events::communication_events_pkey,2.0,8192 bytes
index,public.communication_events::idx_comm_events_sender,2.0,8192 bytes
index,public.communication_events::idx_comm_events_status,2.0,8192 bytes
index,public.communication_events::idx_comm_events_tenant_timestamp,2.0,8192 bytes
index,public.communication_events::idx_comm_events_thread,2.0,8192 bytes
index,public.communication_events::uq_comm_events_external,2.0,8192 bytes
index,public.conversation_threads::conversation_threads_pkey,2.0,8192 bytes
index,public.conversation_threads::idx_conversation_threads_starred,2.0,8192 bytes
index,public.conversation_threads::idx_threads_tenant_activity,2.0,8192 bytes
index,public.conversation_threads::idx_threads_tenant_state,2.0,8192 bytes
index,public.conversation_threads::uq_threads_external_key,2.0,8192 bytes
index,public.referral_partners::idx_referral_partners_auth_user,2.0,8192 bytes
index,public.quotes::idx_quotes_previous_version_id,2.0,8192 bytes
index,public.referral_partners::idx_referral_partners_status,2.0,8192 bytes
index,public.google_connections::unique_chef_google,2.0,8192 bytes
index,public.google_connections::idx_google_connections_gmail_active,2.0,8192 bytes
index,public.google_connections::google_connections_pkey,2.0,8192 bytes
index,public.follow_up_timers::idx_followup_thread,2.0,8192 bytes
index,public.follow_up_timers::idx_followup_tenant_due,2.0,8192 bytes
index,public.follow_up_timers::follow_up_timers_pkey,2.0,8192 bytes
index,public.inquiries::idx_inquiries_tac_stagnancy,2.0,8192 bytes
index,public.inquiries::idx_inquiries_take_a_chef_lookup,2.0,8192 bytes
index,public.user_roles::user_roles_pkey,2.0,8192 bytes
index,public.user_roles::user_roles_auth_user_id_key,2.0,8192 bytes
index,public.messages::messages_pkey,2.0,8192 bytes
index,public.messages::idx_messages_tenant,2.0,8192 bytes
index,public.messages::idx_messages_status,2.0,8192 bytes
index,public.messages::idx_messages_sent_at,2.0,8192 bytes
table,public.recipes,1.5,8192 bytes
table,public.chefs,1.3,8192 bytes
table,public.ledger_entries,1.3,8192 bytes
table,public.quotes,1.2,8192 bytes
table,public.fine_tuning_examples,1.1,8192 bytes
index,public.chefs::idx_chefs_ical_feed_token,0.0,8192 bytes
index,public.chefs::idx_chefs_booking_slug,0.0,8192 bytes
index,public.chefs::idx_chefs_deletion_scheduled,0.0,8192 bytes
index,public.chefs::idx_chefs_stripe_account_id,0.0,8192 bytes
index,public.chefs::idx_chefs_stripe_customer_id,0.0,8192 bytes
index,public.chefs::idx_chefs_stripe_subscription_id,0.0,8192 bytes
index,public.clients::idx_clients_account_deletion_scheduled_for,0.0,8192 bytes
index,public.clients::idx_clients_anniversary,0.0,8192 bytes
index,public.clients::idx_clients_birthday,0.0,8192 bytes
index,public.clients::idx_clients_is_demo,0.0,8192 bytes
index,public.clients::idx_clients_portal_access_token,0.0,8192 bytes
index,public.clients::idx_clients_recurring_pricing_model,0.0,8192 bytes
index,public.clients::idx_clients_referral_code,0.0,8192 bytes
index,public.clients::idx_clients_referral_potential,0.0,8192 bytes
index,public.events::events_inquiry_received_at_idx,0.0,8192 bytes
index,public.events::idx_events_financial_closed,0.0,8192 bytes
index,public.events::idx_events_google_calendar_event_id,0.0,8192 bytes
index,public.events::idx_events_household,0.0,8192 bytes
index,public.events::idx_events_invoice_number,0.0,8192 bytes
index,public.events::idx_events_is_demo,0.0,8192 bytes
index,public.events::idx_events_partner_location,0.0,8192 bytes
index,public.events::idx_events_pre_event_checklist,0.0,8192 bytes
index,public.events::idx_events_referral_partner,0.0,8192 bytes
index,public.events::idx_events_retainer,0.0,8192 bytes
index,public.inquiries::idx_inquiries_is_demo,0.0,8192 bytes
index,public.inquiries::idx_inquiries_partner_location,0.0,8192 bytes
index,public.inquiries::idx_inquiries_referral_partner,0.0,8192 bytes
index,public.inquiries::idx_inquiries_utm_source,0.0,8192 bytes
index,public.ledger_entries::idx_ledger_entries_transaction_reference_unique,0.0,8192 bytes
index,public.menus::idx_menus_showcase,0.0,8192 bytes
index,public.notifications::idx_owner_obs_notifications_recipient_created,0.0,8192 bytes
index,public.quotes::idx_quotes_lost_reason,0.0,8192 bytes
index,public.quotes::quotes_negotiation_idx,0.0,8192 bytes
index,public.referral_partners::idx_referral_partners_invite_token,0.0,8192 bytes
index,public.referral_partners::idx_referral_partners_origin_client,0.0,8192 bytes
index,public.referral_partners::idx_referral_partners_origin_event,0.0,8192 bytes
index,public.referral_partners::idx_referral_partners_share_token,0.0,8192 bytes
index,public.referral_partners::idx_referral_partners_showcase,0.0,8192 bytes
index,public.menus::idx_menus_tenant_id,1.0,0 bytes
index,public.notification_delivery_log::idx_delivery_log_tenant_channel,1.0,0 bytes
index,public.notification_delivery_log::idx_delivery_log_notification,1.0,0 bytes
index,public.event_cannabis_settings::event_cannabis_settings_event_id_key,1.0,0 bytes
index,public.event_cannabis_settings::event_cannabis_settings_pkey,1.0,0 bytes
index,public.expenses::idx_expenses_event_id,1.0,0 bytes
index,public.expenses::idx_expenses_category,1.0,0 bytes
index,public.expenses::expenses_pkey,1.0,0 bytes
table,public.google_connections,1.0,0 bytes
table,public.follow_up_timers,1.0,0 bytes
index,public.menus::menus_pkey,1.0,0 bytes
table,public.cron_executions,1.0,0 bytes
table,public.conversation_threads,1.0,0 bytes
index,public.chefs::idx_chefs_subscription_status,1.0,0 bytes
index,public.expenses::idx_expenses_tenant_id,1.0,0 bytes
index,public.expenses::idx_expenses_tenant_date,1.0,0 bytes
index,public.expenses::idx_expenses_is_business,1.0,0 bytes
index,public.expenses::idx_expenses_expense_date,1.0,0 bytes
index,public.clients::clients_tenant_id_email_key,1.0,0 bytes
table,public.loyalty_rewards,1.0,0 bytes
table,public.menus,1.0,0 bytes
table,public.user_roles,1.0,0 bytes
table,public.staff_members,1.0,0 bytes
index,public.recipes::recipes_pkey,1.0,0 bytes
index,public.recipes::idx_recipes_times_cooked,1.0,0 bytes
index,public.recipes::idx_recipes_tenant_name,1.0,0 bytes
index,public.recipes::idx_recipes_tenant_id,1.0,0 bytes
index,public.recipes::idx_recipes_category,1.0,0 bytes
index,public.recipes::idx_recipes_archived,1.0,0 bytes
index,public.ledger_entries::idx_ledger_entries_client_id,1.0,0 bytes
index,public.ledger_entries::idx_ledger_entries_created_at,1.0,0 bytes
index,public.ledger_entries::idx_ledger_entries_entry_type,1.0,0 bytes
index,public.ledger_entries::idx_ledger_entries_event_id,1.0,0 bytes
index,public.ledger_entries::idx_ledger_entries_ledger_sequence,1.0,0 bytes
index,public.ledger_entries::idx_ledger_entries_tenant_event,1.0,0 bytes
index,public.ledger_entries::idx_ledger_entries_tenant_id,1.0,0 bytes
table,public.referral_partners,1.0,0 bytes
index,public.ledger_entries::ledger_entries_pkey,1.0,0 bytes
index,public.loyalty_rewards::idx_loyalty_rewards_active,1.0,0 bytes
index,public.loyalty_rewards::idx_loyalty_rewards_tenant,1.0,0 bytes
index,public.loyalty_rewards::loyalty_rewards_pkey,1.0,0 bytes
index,public.menus::idx_menus_active_tenant_created_at,1.0,0 bytes
index,public.menus::idx_menus_event_id,1.0,0 bytes
index,public.menus::idx_menus_is_template,1.0,0 bytes
index,public.notification_delivery_log::notification_delivery_log_pkey,1.0,0 bytes
index,public.menus::idx_menus_status,1.0,0 bytes
table,public.event_cannabis_settings,0.8,0 bytes
index,public.chefs::chefs_slug_key,0.7,0 bytes
index,public.inquiries::idx_inquiries_converted,0.7,0 bytes
index,public.inquiries::idx_inquiries_converted_to_event,0.7,0 bytes
index,public.inquiries::idx_inquiries_external_dedup,0.7,0 bytes
index,public.inquiries::idx_inquiries_follow_up_due,0.7,0 bytes
index,public.dishes::idx_dishes_tenant_id,0.7,0 bytes
index,public.dishes::idx_dishes_menu_id,0.7,0 bytes
index,public.dishes::idx_dishes_menu_course,0.7,0 bytes
index,public.dishes::dishes_pkey,0.7,0 bytes
index,public.dishes::dishes_menu_id_course_number_key,0.7,0 bytes
index,public.activity_events::idx_activity_type,0.7,0 bytes
index,public.chefs::idx_chefs_auth_user,0.7,0 bytes
index,public.chefs::idx_chefs_account_status,0.7,0 bytes
index,public.chefs::chefs_pkey,0.7,0 bytes
index,public.chefs::chefs_email_key,0.7,0 bytes
index,public.chefs::chefs_booking_slug_key,0.7,0 bytes
index,public.chefs::chefs_auth_user_id_key,0.7,0 bytes
index,public.activity_events::idx_activity_client,0.6,0 bytes
index,public.chef_breadcrumbs::idx_breadcrumbs_tenant_time,0.6,0 bytes
index,public.cron_executions::idx_cron_executions_executed,0.5,0 bytes
index,public.cron_executions::cron_executions_pkey,0.5,0 bytes
index,public.cron_executions::idx_cron_executions_name_executed,0.5,0 bytes
index,public.activity_events::idx_activity_tenant_recent,0.5,0 bytes
index,public.events::idx_events_active_tenant_created_at,0.4,0 bytes
index,public.quotes::quotes_pkey,0.4,0 bytes
index,public.chef_breadcrumbs::chef_breadcrumbs_pkey,0.4,0 bytes
index,public.chef_preferences::chef_preferences_chef_id_key,0.4,0 bytes
index,public.chef_preferences::chef_preferences_pkey,0.4,0 bytes
index,public.chef_preferences::idx_chef_preferences_chef_id,0.4,0 bytes
index,public.chef_preferences::idx_chef_preferences_revenue_goal_enabled,0.4,0 bytes
index,public.chef_preferences::idx_chef_preferences_tenant_id,0.4,0 bytes
index,public.quotes::idx_quotes_active_tenant_created_at,0.4,0 bytes
index,public.clients::clients_auth_user_id_key,0.4,0 bytes
index,public.clients::idx_clients_tenant_status,0.4,0 bytes
index,public.clients::idx_clients_tenant,0.4,0 bytes
index,public.clients::idx_clients_status,0.4,0 bytes
index,public.clients::idx_clients_photo_permission,0.4,0 bytes
index,public.clients::idx_clients_loyalty_tier,0.4,0 bytes
index,public.clients::idx_clients_loyalty_points,0.4,0 bytes
index,public.clients::idx_clients_auth_user,0.4,0 bytes
index,public.clients::idx_clients_active_tenant_created_at,0.4,0 bytes
index,public.clients::clients_portal_access_token_key,0.4,0 bytes
index,public.clients::clients_pkey,0.4,0 bytes
index,public.quotes::idx_quotes_client_id,0.4,0 bytes
index,public.quotes::idx_quotes_event_id,0.4,0 bytes
index,public.quotes::idx_quotes_inquiry_id,0.4,0 bytes
index,public.quotes::idx_quotes_status,0.4,0 bytes
index,public.quotes::idx_quotes_tenant_id,0.4,0 bytes
index,public.activity_events::activity_events_pkey,0.3,0 bytes
index,public.inquiries::idx_inquiries_client_status,0.3,0 bytes
index,public.gmail_historical_findings::idx_historical_findings_received,0.3,0 bytes
index,public.gmail_historical_findings::gmail_historical_findings_pkey,0.3,0 bytes
index,public.gmail_historical_findings::idx_historical_findings_chef_status,0.3,0 bytes
index,public.chef_activity_log::idx_chef_activity_client,0.3,0 bytes
index,public.gmail_historical_findings::unique_historical_finding,0.3,0 bytes
index,public.gmail_historical_findings::idx_historical_findings_tenant,0.3,0 bytes
index,public.events::idx_events_guest_code,0.2,0 bytes
index,public.events::idx_events_inquiry_id,0.2,0 bytes
index,public.fine_tuning_examples::fine_tuning_examples_tenant_idx,0.2,0 bytes
index,public.events::idx_events_tenant_status,0.2,0 bytes
index,public.inquiries::idx_inquiries_client,0.2,0 bytes
index,public.inquiries::idx_inquiries_active_tenant_created_at,0.2,0 bytes
index,public.inquiries::inquiries_pkey,0.2,0 bytes
index,public.events::idx_events_menu_id,0.2,0 bytes
index,public.chef_activity_log::idx_chef_activity_tenant_recent,0.2,0 bytes
index,public.chef_activity_log::idx_chef_activity_entity,0.2,0 bytes
index,public.chef_activity_log::idx_chef_activity_domain,0.2,0 bytes
index,public.events::idx_events_source_session_id,0.2,0 bytes
index,public.chef_activity_log::chef_activity_log_pkey,0.2,0 bytes
index,public.events::idx_events_status,0.2,0 bytes
index,public.events::events_pkey,0.2,0 bytes
index,public.events::idx_events_client_id,0.2,0 bytes
index,public.simulation_runs::simulation_runs_pkey,0.2,0 bytes
index,public.simulation_runs::simulation_runs_tenant_idx,0.2,0 bytes
index,public.inquiries::idx_inquiries_status,0.2,0 bytes
index,public.events::idx_events_tenant_id,0.2,0 bytes
index,public.events::idx_events_tenant_date,0.2,0 bytes
index,public.fine_tuning_examples::fine_tuning_examples_pkey,0.2,0 bytes
index,public.events::idx_events_event_date,0.2,0 bytes
index,public.inquiries::idx_inquiries_tenant,0.2,0 bytes
index,public.inquiries::idx_inquiries_tenant_status,0.2,0 bytes
index,public.events::idx_events_event_series_id,0.2,0 bytes
index,public.gmail_sync_log::gmail_sync_log_pkey,0.1,0 bytes
index,public.gmail_sync_log::idx_gmail_sync_log_received,0.1,0 bytes
index,public.simulation_results::simulation_results_pkey,0.1,0 bytes
index,public.gmail_sync_log::unique_gmail_sync,0.1,0 bytes
index,public.gmail_sync_log::idx_gmail_sync_log_tenant,0.1,0 bytes
index,public.simulation_results::simulation_results_tenant_idx,0.1,0 bytes
index,public.audit_log::idx_audit_record,0.0,0 bytes
index,public.simulation_results::simulation_results_run_idx,0.0,0 bytes
index,public.audit_log::idx_audit_tenant,0.0,0 bytes
index,public.audit_log::audit_log_pkey,0.0,0 bytes
index,public.audit_log::idx_audit_changed_by,0.0,0 bytes
index,public.gmail_sync_log::idx_gmail_sync_log_search,0.0,0 bytes
index,public.audit_log::idx_audit_changed_at,0.0,0 bytes
index,public.audit_log::idx_audit_table,0.0,0 bytes
table,public.notifications,0.0,0 bytes
